image_id,component_id,bbox_x,bbox_y,bbox_width,bbox_height,dataset,original_path,file_name,metadata1,metadata2,metadata3,metadata4
img_00000001,1,1174,768,1364,1423,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/347_GENOTYPE 3_ID48.jpg,347_GENOTYPE 3_ID48.jpg,Bouabane des Aures,,,
img_00000002,0,1172,660,1104,1137,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/387_TIZI OUININE_ID88.jpg,387_TIZI OUININE_ID88.jpg,Tizi Ouinine,,,
img_00000003,0,490,1064,1618,1658,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/357_GENOTYPE 4_ID58.jpg,357_GENOTYPE 4_ID58.jpg,Amer Bouamar,,,
img_00000004,0,841,392,1795,1594,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/339_GENOTYPE 2_ID40.jpg,339_GENOTYPE 2_ID40.jpg,Ichmoul Bacha,,,
img_00000005,0,852,358,1403,1437,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/374_LOUALI_ID75.jpg,374_LOUALI_ID75.jpg,Louali,,,
img_00000006,0,895,645,1510,1323,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/327_GENOTYPE 1_ID28.jpg,327_GENOTYPE 1_ID28.jpg,Ichmoul,,,
img_00000007,0,1163,523,1305,1274,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/333_GENOTYPE 2_ID34.jpg,333_GENOTYPE 2_ID34.jpg,Ichmoul Bacha,,,
img_00000008,0,1407,694,1054,1030,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/336_GENOTYPE 2_ID37.jpg,336_GENOTYPE 2_ID37.jpg,Ichmoul Bacha,,,
img_00000009,0,441,1414,1687,1482,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/324_GENOTYPE 1_ ID25.jpg,324_GENOTYPE 1_ ID25.jpg,Ichmoul,,,
img_00000010,0,1272,738,927,981,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/380_TIZI OUININE_ID81.jpg,380_TIZI OUININE_ID81.jpg,Tizi Ouinine,,,
img_00000011,0,1355,837,837,846,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/320_BABARI_ID21.jpg,320_BABARI_ID21.jpg,Babari,,,
img_00000012,0,1042,661,1224,1266,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/367_LOUALI_ID68.jpg,367_LOUALI_ID68.jpg,Louali,,,
img_00000013,0,1136,689,863,1001,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/334_GENOTYPE 2_ID35.jpg,334_GENOTYPE 2_ID35.jpg,Ichmoul Bacha,,,
img_00000014,0,970,362,1580,1523,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/335_GENOTYPE 2_ID36.jpg,335_GENOTYPE 2_ID36.jpg,Ichmoul Bacha,,,
img_00000015,2,1008,754,1401,1330,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/373_LOUALI_ID74.jpg,373_LOUALI_ID74.jpg,Louali,,,
img_00000016,0,1167,607,1098,1242,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/300_AHMEUR BOU AHMEUR_ID01.jpg,300_AHMEUR BOU AHMEUR_ID01.jpg,Ahmeur Bou Ahmeur,,,
img_00000017,0,994,788,1266,1169,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/368_LOUALI_ID69.jpg,368_LOUALI_ID69.jpg,Louali,,,
img_00000018,0,1378,651,955,1032,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/378_TIZI OUININE_ID79.jpg,378_TIZI OUININE_ID79.jpg,Tizi Ouinine,,,
img_00000019,0,1221,803,1023,1012,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/306_AHMEUR BOU AHMEUR_ID07.jpg,306_AHMEUR BOU AHMEUR_ID07.jpg,Ahmeur Bou Ahmeur,,,
img_00000020,0,1321,577,1034,1279,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/384_TIZI OUININE_ID85.jpg,384_TIZI OUININE_ID85.jpg,Tizi Ouinine,,,
img_00000021,0,870,592,1666,1624,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/301_AHMEUR BOU AHMEUR_ID02.jpg,301_AHMEUR BOU AHMEUR_ID02.jpg,Ahmeur Bou Ahmeur,,,
img_00000022,0,1457,729,898,949,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/321_BABARI_ID22.jpg,321_BABARI_ID22.jpg,Babari,,,
img_00000023,0,1191,788,858,998,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/310_AHMEUR BOU AHMEUR_ID11.jpg,310_AHMEUR BOU AHMEUR_ID11.jpg,Ahmeur Bou Ahmeur,,,
img_00000024,0,240,723,2000,2292,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/359_GENOTYPE 4_ID60.jpg,359_GENOTYPE 4_ID60.jpg,Amer Bouamar,,,
img_00000025,0,1249,759,1029,1119,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/308_AHMEUR BOU AHMEUR_ID09.jpg,308_AHMEUR BOU AHMEUR_ID09.jpg,Ahmeur Bou Ahmeur,,,
img_00000026,0,989,534,1337,1481,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/348_GENOTYPE 3_ID49.jpg,348_GENOTYPE 3_ID49.jpg,Bouabane des Aures,,,
img_00000027,0,1058,754,1357,1467,ALGERIA,ALGERIA/FIRST_BATCH/algeria_images/358_GENOTYPE 4_ID59.jpg,358_GENOTYPE 4_ID59.jpg,Amer Bouamar,,,
